# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.016496111378e+03       3.036815494396e-02       0.000000000000e+00       2.597942938935e+00       4.926191889850e-08       2.971556942963e-03      -1.218824091555e-05 
    3       9.631421993479e+02       3.900517384616e-02       0.000000000000e+00       2.918203621499e+00       6.085178301310e-08       2.982033905243e-03      -1.306455992033e-05 
    4       9.123773872469e+02       3.381661030684e-02       0.000000000000e+00       2.728606874888e+00       7.051079749362e-08       2.914925306360e-03      -1.106229065909e-05 
    5       8.742900823752e+02       2.261674011145e-02       0.000000000000e+00       2.324303415561e+00       7.887597832384e-08       2.818389126289e-03      -7.557756116666e-06 
    6       8.481597601136e+02       1.267251553053e-02       0.000000000000e+00       1.872830492524e+00       8.621327469947e-08       2.711827420135e-03      -3.710048765562e-06 
    7       8.314316786675e+02       6.847242938515e-03       0.000000000000e+00       1.471412538408e+00       9.272191964722e-08       2.605046916175e-03      -4.196590333416e-07 
    8       8.217211796339e+02       4.406163171293e-03       0.000000000000e+00       1.162696335722e+00       9.851631289097e-08       2.502116098758e-03       1.772851481726e-06 
    9       8.172406014233e+02       3.531512779179e-03       0.000000000000e+00       9.559991406871e-01       1.036999234887e-07       2.404364519037e-03       2.702034851800e-06 
   10       8.165552629320e+02       3.012028231579e-03       0.000000000000e+00       8.415542427832e-01       1.083485123425e-07       2.312704278553e-03       2.525495498115e-06 
   11       8.189189033486e+02       2.533831410356e-03       0.000000000000e+00       8.000060981588e-01       1.094812179503e-07       2.237031962348e-03       1.626099365411e-06 
   12       8.237243672559e+02       2.207603856496e-03       0.000000000000e+00       8.091422287126e-01       1.130333009463e-07       2.153119780056e-03       4.344989721727e-07 
   13       8.302837963865e+02       2.116477169062e-03       0.000000000000e+00       8.487546689805e-01       1.162126170019e-07       2.078197968704e-03      -6.381423972653e-07 
   14       8.380210939991e+02       2.205407821573e-03       0.000000000000e+00       9.038384602415e-01       1.190598567640e-07       1.999853455894e-03      -1.341289850575e-06 
   15       8.470784992336e+02       2.388431151261e-03       0.000000000000e+00       9.654399992153e-01       1.216104673490e-07       1.928936393382e-03      -1.569493464750e-06 
   16       8.573674134343e+02       2.645423900386e-03       0.000000000000e+00       1.028040172985e+00       1.238956744165e-07       1.864272232967e-03      -1.385626303233e-06 
   17       8.682531459010e+02       3.016374386165e-03       0.000000000000e+00       1.090153086640e+00       1.259417545871e-07       1.803761010401e-03      -9.540489818522e-07 
   18       8.798159089058e+02       3.541078452229e-03       0.000000000000e+00       1.153895550122e+00       1.277215948395e-07       1.743468864002e-03      -4.849471392766e-07 
   19       8.921556449913e+02       4.222452471882e-03       0.000000000000e+00       1.220623005022e+00       1.294034798990e-07       1.685917179261e-03      -1.193706050609e-07 
   20       9.049015118007e+02       5.046539679622e-03       0.000000000000e+00       1.290986397535e+00       1.308489434880e-07       1.632616169309e-03       2.359838896444e-08 
   21       9.181542471511e+02       6.008711822095e-03       0.000000000000e+00       1.364852500471e+00       1.321448248163e-07       1.584046271209e-03      -6.356046942895e-08 
   22       9.319212015598e+02       7.105313804044e-03       0.000000000000e+00       1.441249499287e+00       1.332665013254e-07       1.537619370500e-03      -3.122960921863e-07 
   23       9.461267148059e+02       8.338266059813e-03       0.000000000000e+00       1.517736615475e+00       1.342835964421e-07       1.492698502548e-03      -6.365480454010e-07 
   24       9.605442171585e+02       9.709859885999e-03       0.000000000000e+00       1.591088077814e+00       1.351481317092e-07       1.448077722335e-03      -9.237968376560e-07 
   25       9.753259929725e+02       1.122081916056e-02       0.000000000000e+00       1.659153822233e+00       1.359142230901e-07       1.405575459202e-03      -1.105243600455e-06 
   26       9.905965652641e+02       1.287303825748e-02       0.000000000000e+00       1.720141112714e+00       1.365605217821e-07       1.366899064727e-03      -1.135137027991e-06 
   27       1.006219565079e+03       1.468111872190e-02       0.000000000000e+00       1.773243502499e+00       1.371137369203e-07       1.331114043308e-03      -1.037015193376e-06 
   28       1.021925294715e+03       1.666341600553e-02       0.000000000000e+00       1.818178809958e+00       1.375378980684e-07       1.295633891431e-03      -8.722070459021e-07 
   29       1.037781167156e+03       1.883013289952e-02       0.000000000000e+00       1.855417042997e+00       1.379054865913e-07       1.260909390563e-03      -6.897801237996e-07 
   30       1.053888282217e+03       2.118874900620e-02       0.000000000000e+00       1.885941253815e+00       1.382367490718e-07       1.227887526106e-03      -5.495357566867e-07 
   31       1.070270501242e+03       2.374651814375e-02       0.000000000000e+00       1.910755701772e+00       1.384523384293e-07       1.196860055816e-03      -5.146508520472e-07 
   32       1.086943095472e+03       2.651138322359e-02       0.000000000000e+00       1.929468759643e+00       1.385965801577e-07       1.167868729860e-03      -5.791852916317e-07 
   33       1.103849641526e+03       2.949134948720e-02       0.000000000000e+00       1.941171462258e+00       1.386975390947e-07       1.140188941729e-03      -7.013406617485e-07 
   34       1.120889309080e+03       3.269389121465e-02       0.000000000000e+00       1.944839863385e+00       1.387191904662e-07       1.112586088953e-03      -8.278161178065e-07 
   35       1.138112932517e+03       3.612480297982e-02       0.000000000000e+00       1.939511179304e+00       1.386930324526e-07       1.085374171198e-03      -9.323435735013e-07 
   36       1.155583524350e+03       3.978886182130e-02       0.000000000000e+00       1.924151587707e+00       1.386257709047e-07       1.059171555409e-03      -9.933479885439e-07 
   37       1.173324286145e+03       4.369051110071e-02       0.000000000000e+00       1.897814454082e+00       1.384787049851e-07       1.034358771265e-03      -9.913032595455e-07 
   38       1.191336695893e+03       4.783536752554e-02       0.000000000000e+00       1.860373825435e+00       1.382897529463e-07       1.011165860531e-03      -9.355108739870e-07 
