# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.014984144616e+03       2.431760967879e-02       0.000000000000e+00       2.325250246465e+00       4.740409198085e-08       2.903014430277e-03      -1.088339280254e-05 
    3       9.633612157460e+02       3.126592903668e-02       0.000000000000e+00       2.604193125952e+00       5.856649875549e-08       2.903094995238e-03      -1.166748464098e-05 
    4       9.141993668273e+02       2.716914788354e-02       0.000000000000e+00       2.434943614718e+00       6.770451714305e-08       2.824374936698e-03      -9.861384200374e-06 
    5       8.776510964119e+02       1.824085847989e-02       0.000000000000e+00       2.079173706146e+00       7.553740319404e-08       2.720638377460e-03      -6.705807367421e-06 
    6       8.527216170798e+02       1.030721079903e-02       0.000000000000e+00       1.685581750970e+00       8.233039487041e-08       2.609412309298e-03      -3.235934066104e-06 
    7       8.367385150536e+02       5.678775864786e-03       0.000000000000e+00       1.338656540923e+00       8.824815367383e-08       2.497921707830e-03      -2.601442989862e-07 
    8       8.276653402129e+02       3.760950208164e-03       0.000000000000e+00       1.074010755179e+00       9.342108704362e-08       2.391304734007e-03       1.733266883480e-06 
    9       8.236272242668e+02       3.077566961593e-03       0.000000000000e+00       8.986429144595e-01       9.798758430911e-08       2.292364141245e-03       2.590200378048e-06 
   10       8.236902021346e+02       2.646133032041e-03       0.000000000000e+00       8.029094731285e-01       1.020624582817e-07       2.200722651670e-03       2.445659345002e-06 
   11       8.264703866756e+02       2.224326085918e-03       0.000000000000e+00       7.694162873603e-01       1.032262325120e-07       2.125859766019e-03       1.635881045330e-06 
   12       8.312997869115e+02       1.924753424920e-03       0.000000000000e+00       7.797670408458e-01       1.063399126625e-07       2.043218942701e-03       5.517682359988e-07 
   13       8.385080098492e+02       1.835739780853e-03       0.000000000000e+00       8.171408994260e-01       1.090973313485e-07       1.965639851777e-03      -4.461544854108e-07 
   14       8.468680475862e+02       1.920727470022e-03       0.000000000000e+00       8.686172000861e-01       1.115422895767e-07       1.894989617682e-03      -1.110690644559e-06 
   15       8.562996775015e+02       2.105454547378e-03       0.000000000000e+00       9.264923305833e-01       1.137078440973e-07       1.823401030480e-03      -1.357048465594e-06 
   16       8.669820861814e+02       2.364877413347e-03       0.000000000000e+00       9.863304378241e-01       1.156243344244e-07       1.758696324896e-03      -1.221997094810e-06 
   17       8.783785300218e+02       2.725219970370e-03       0.000000000000e+00       1.046778548555e+00       1.173181133880e-07       1.700174447981e-03      -8.481345255292e-07 
   18       8.905269097248e+02       3.218298570853e-03       0.000000000000e+00       1.108610457959e+00       1.187637270070e-07       1.641288705657e-03      -4.295041876139e-07 
   19       9.034911853351e+02       3.847050596404e-03       0.000000000000e+00       1.172889030809e+00       1.201208161163e-07       1.584305271155e-03      -9.337258089402e-08 
   20       9.168696922422e+02       4.600635135711e-03       0.000000000000e+00       1.240402773505e+00       1.212590247237e-07       1.531382876672e-03       5.206554579573e-08 
   21       9.307698345441e+02       5.475913378195e-03       0.000000000000e+00       1.310794245395e+00       1.222605125117e-07       1.483715084328e-03      -7.501879829317e-09 
   22       9.452221689903e+02       6.471004850390e-03       0.000000000000e+00       1.382892832411e+00       1.231013726588e-07       1.439515528717e-03      -2.211605823227e-07 
   23       9.601841459740e+02       7.590355277685e-03       0.000000000000e+00       1.454915942603e+00       1.238512363657e-07       1.397714623046e-03      -5.111618504430e-07 
   24       9.754398359908e+02       8.839279921826e-03       0.000000000000e+00       1.524550040964e+00       1.244676209709e-07       1.356138457566e-03      -7.713660568482e-07 
   25       9.910144596343e+02       1.021975013926e-02       0.000000000000e+00       1.589697401267e+00       1.249828847339e-07       1.316138095316e-03      -9.406061792626e-07 
   26       1.006910412659e+03       1.173339595195e-02       0.000000000000e+00       1.648377358861e+00       1.253574913257e-07       1.279403931915e-03      -9.789870320343e-07 
   27       1.023210397991e+03       1.338966414561e-02       0.000000000000e+00       1.699968265639e+00       1.256795986402e-07       1.246216238963e-03      -8.998882405654e-07 
   28       1.039899566277e+03       1.520154250875e-02       0.000000000000e+00       1.744395394536e+00       1.259742381539e-07       1.214853288184e-03      -7.545133821497e-07 
   29       1.056854941808e+03       1.718226318100e-02       0.000000000000e+00       1.781771187331e+00       1.261420545972e-07       1.182417381185e-03      -6.119191476567e-07 
