# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.165342332662e+03       8.946468069279e-03       0.000000000000e+00      -2.896139139107e-01       2.504067068150e-08       3.781291054017e-03      -2.707239831879e-06 
    3       1.094521458302e+03       1.769382989112e-02       0.000000000000e+00       2.797743619955e-01       3.060921497026e-08       3.700417982242e-03      -3.721745025121e-06 
    4       1.056064564931e+03       2.101678890428e-02       0.000000000000e+00       1.020893657911e+00       3.511463572220e-08       3.593674942223e-03      -3.240972453746e-06 
    5       1.034918581631e+03       1.797718918417e-02       0.000000000000e+00       1.491925917203e+00       3.889933687434e-08       3.502499382693e-03      -1.675379010909e-06 
    6       1.013796954441e+03       1.343317190170e-02       0.000000000000e+00       1.710823179266e+00       4.217680355210e-08       3.413102826172e-03       1.531298673417e-07 
    7       9.917117841369e+02       1.024535987426e-02       0.000000000000e+00       1.779192037033e+00       4.504233868583e-08       3.320996386345e-03       1.791671787019e-06 
    8       9.711720313808e+02       8.587433941971e-03       0.000000000000e+00       1.758109651557e+00       4.756125665395e-08       3.227957249686e-03       3.015325352776e-06 
    9       9.538771000762e+02       7.556672787964e-03       0.000000000000e+00       1.674263950362e+00       4.977516534138e-08       3.136754385421e-03       3.729926705109e-06 
   10       9.403533775489e+02       6.460571637765e-03       0.000000000000e+00       1.545334055177e+00       5.171709875622e-08       3.049262541031e-03       3.939745118876e-06 
   11       9.303583439952e+02       5.164684436829e-03       0.000000000000e+00       1.391901256285e+00       5.213950652883e-08       3.025601159474e-03       3.837555329644e-06 
   12       9.229627937608e+02       3.892210714004e-03       0.000000000000e+00       1.236439549336e+00       5.286116994779e-08       2.964367954961e-03       3.398412582759e-06 
   13       9.188580977088e+02       2.845924563425e-03       0.000000000000e+00       1.098384626107e+00       5.484905539651e-08       2.862733106899e-03       2.739235165373e-06 
   14       9.162836692191e+02       2.158061548639e-03       0.000000000000e+00       9.907796087133e-01       5.627078620891e-08       2.775963022137e-03       2.160561998814e-06 
   15       9.153704368072e+02       1.812232416937e-03       0.000000000000e+00       9.194270317944e-01       5.694529032679e-08       2.714504849652e-03       1.768374308264e-06 
   16       9.157136705655e+02       1.685156981091e-03       0.000000000000e+00       8.816177384581e-01       5.764176725869e-08       2.648860905140e-03       1.525703963897e-06 
   17       9.173142868870e+02       1.702273755929e-03       0.000000000000e+00       8.720137633071e-01       5.856193149280e-08       2.578258291490e-03       1.412787542859e-06 
   18       9.196436013537e+02       1.789367279427e-03       0.000000000000e+00       8.809150467901e-01       5.926967812884e-08       2.509119098968e-03       1.386193113985e-06 
