# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       1.000000000000e+14       7.551816580180e-26       4.631147021428e-09       2.159456430289e+22       1.416747636623e+04       1.416747636623e-10       1.416747636623e+18       2.673590729091e-09       2.751560535470e+44       2.467161217492e+33       1.334281066603e+34       6.331470950076e+43       2.110490316692e+43       3.446454986861e-08       1.278544443680e+44       4.663252074315e+44       4.663252074315e+44       1.554417358052e+44      -1.342678623679e+53       5.485430688772e-06       2.000000000000e+00 
       9.893085837570e+13       7.715922911467e-26       4.680259735323e-09       2.113527974830e+22       1.416747636623e+04       1.432058368727e-10       1.401600597928e+18       2.702484112953e-09       2.635761930281e+44       2.388871896650e+33       1.291940923699e+34       6.065012881878e+43       2.021670960626e+43       3.446454986861e-08       1.224737281765e+44       4.467000500387e+44       4.467000500387e+44       1.489000166745e+44      -1.272421389488e+53       5.603356259333e-06       1.957908951181e+00 
       9.787314738953e+13       7.883595372627e-26       4.731191438623e-09       2.068576349924e+22       1.416747636623e+04       1.447534563269e-10       1.386615502529e+18       2.731689745394e-09       2.524836674885e+44       2.313066895727e+33       1.250944341567e+34       5.809768622077e+43       1.936589540692e+43       3.446454986861e-08       1.173194578226e+44       4.279008115466e+44       4.279008115466e+44       1.426336038439e+44      -1.205840447500e+53       5.721281829881e-06       1.917553041712e+00 
       9.682674483178e+13       8.054911464863e-26       4.782123141922e-09       2.024580779827e+22       1.416747636623e+04       1.463178008394e-10       1.371790619023e+18       2.761211001441e-09       2.418579675807e+44       2.239667380914e+33       1.211248685597e+34       5.565266240889e+43       1.855088746963e+43       3.446454986861e-08       1.123821034005e+44       4.098927334044e+44       4.098927334044e+44       1.366309111300e+44      -1.142743431413e+53       5.839207400420e-06       1.878827146122e+00 
       9.579152979933e+13       8.229950380315e-26       4.834873834625e-09       1.981520930660e+22       1.416747636622e+04       1.478990511573e-10       1.357124234517e+18       2.791051292608e-09       2.316794470871e+44       2.168597019998e+33       1.172812674081e+34       5.331053669553e+43       1.777017889851e+43       3.446454986861e-08       1.076525360680e+44       3.926425198645e+44       3.926425198645e+44       1.308808399502e+44      -1.082948040717e+53       5.957132970962e-06       1.841634462244e+00 
       9.476738268169e+13       8.408793014476e-26       4.885805537924e-09       1.939376901020e+22       1.416747636622e+04       1.494973899808e-10       1.342614654432e+18       2.821214066510e-09       2.219292865953e+44       2.099781902983e+33       1.135596335287e+34       5.106697864488e+43       1.702232621496e+43       3.446454986861e-08       1.031220111673e+44       3.761182764210e+44       3.761182764210e+44       1.253727588025e+44      -1.026281513991e+53       6.075058541501e-06       1.805885704713e+00 
       9.375418514718e+13       8.591522024432e-26       4.938556230627e-09       1.898129212774e+22       1.416747636622e+04       1.511130019847e-10       1.328260202307e+18       2.851702808205e-09       2.125894587024e+44       2.033150465226e+33       1.099560965887e+34       4.891784006623e+43       1.630594668874e+43       3.446454986861e-08       9.878215205701e+43       3.602894508387e+44       3.602894508387e+44       1.200964836085e+44      -9.725801297551e+52       6.192984112040e-06       1.771498388655e+00 
       9.275182012925e+13       8.778221865480e-26       4.993125912733e-09       1.857758802063e+22       1.416747636622e+04       1.527460738396e-10       1.314059219606e+18       2.882521040472e-09       2.036426946831e+44       1.968633413010e+33       1.064669090710e+34       4.685914734423e+43       1.561971578141e+43       3.446454986861e-08       9.462493462411e+43       3.451267766641e+44       3.451267766641e+44       1.150422588838e+44      -9.216887334513e+52       6.310909682579e-06       1.738396194400e+00 
       9.176017181296e+13       8.968978833915e-26       5.045876605436e-09       1.818247010485e+22       1.416747636622e+04       1.543967942334e-10       1.300010065521e+18       2.913672324178e-09       1.950724525616e+44       1.906163651488e+33       1.030884423764e+34       4.488709409196e+43       1.496236469732e+43       3.446454986861e-08       9.064267244805e+43       3.306022191138e+44       3.306022191138e+44       1.102007397005e+44      -8.734602891640e+52       6.428835253116e-06       1.706508402067e+00 
       9.077912562158e+13       9.163881091922e-26       5.100446287543e-09       1.779575576478e+22       1.416747636622e+04       1.560653538930e-10       1.286111116790e+18       2.945160258552e-09       1.868628865258e+44       1.845676214903e+33       9.981718305087e+33       4.299803411315e+43       1.433267803772e+43       3.446454986861e-08       8.682800258898e+43       3.166889232397e+44       3.166889232397e+44       1.055629744093e+44      -8.277554548049e+52       6.546760823650e-06       1.675769387306e+00 
       8.980856820338e+13       9.363018713111e-26       5.156834959053e-09       1.741726626875e+22       1.416747636622e+04       1.577519456066e-10       1.272360767506e+18       2.976988481690e-09       1.789988176302e+44       1.787108199025e+33       9.664972913093e+33       4.118847466063e+43       1.372949155354e+43       3.446454986861e-08       8.317387197418e+43       3.033611642765e+44       3.033611642765e+44       1.011203880883e+44      -7.844421795236e+52       6.664686394179e-06       1.646118170433e+00 
       8.884838741853e+13       9.566483733627e-26       5.211404641159e-09       1.704682668644e+22       1.416747636622e+04       1.594567642459e-10       1.258757428929e+18       3.009160671073e-09       1.714657057307e+44       1.730398695738e+33       9.358278660622e+33       3.945506997842e+43       1.315168999281e+43       3.446454986861e-08       7.967352435741e+43       2.905943000776e+44       2.905943000776e+44       9.686476668885e+43      -7.433953221859e+52       6.782611964704e-06       1.617498012609e+00 
       8.789847232612e+13       9.774370194654e-26       5.267793312669e-09       1.668426580806e+22       1.416747636622e+04       1.611800067885e-10       1.245299529308e+18       3.041680543970e-09       1.642496226007e+44       1.675488729694e+33       9.061316599367e+33       3.779461511573e+43       1.259820503858e+43       3.446454986861e-08       7.632048782700e+43       2.783647255541e+44       2.783647255541e+44       9.278824184780e+43      -7.044962898139e+52       6.900537535224e-06       1.589856053482e+00 
       8.695871317136e+13       9.986774175152e-26       5.326000973582e-09       1.632941606519e+22       1.416747636622e+04       1.629218723408e-10       1.231985513693e+18       3.074551857766e-09       1.573372261788e+44       1.622321196986e+33       8.773777902069e+33       3.620404000112e+43       1.206801333371e+43       3.446454986861e-08       7.310856283979e+43       2.666498290301e+44       2.666498290301e+44       8.888327633991e+43      -6.676326949464e+52       7.018463105739e-06       1.563142985411e+00 
       8.602900137289e+13       1.020379384112e-25       5.382389645092e-09       1.598211345334e+22       1.416747636622e+04       1.646825621608e-10       1.218813843760e+18       3.107778410441e-09       1.507157359005e+44       1.570840805758e+33       8.495363541343e+33       3.468040376624e+43       1.156013458875e+43       3.446454986861e-08       7.003181075854e+43       2.554279504353e+44       2.554279504353e+44       8.514265014176e+43      -6.326980309280e+52       7.136388676250e-06       1.537312759906e+00 
       8.510922951025e+13       1.042552949437e-25       5.440597306006e-09       1.564219745615e+22       1.416747636622e+04       1.664622796816e-10       1.205782997634e+18       3.141364041041e-09       1.443729090674e+44       1.520994018704e+33       8.225783978708e+33       3.322088930826e+43       1.107362976942e+43       3.446454986861e-08       6.708454287178e+43       2.446783412572e+44       2.446783412572e+44       8.155944708248e+43      -5.995913641892e+52       7.254314246756e-06       1.512322322708e+00 
       8.419929131143e+13       1.065208362024e-25       5.500623956323e-09       1.530951097122e+22       1.416747636622e+04       1.682612305349e-10       1.192891469708e+18       3.175312630139e-09       1.382970182115e+44       1.472728997398e+33       7.964758863477e+33       3.182279808132e+43       1.060759936044e+43       3.446454986861e-08       6.426130987576e+43       2.343811261780e+44       2.343811261780e+44       7.812704205618e+43      -5.682170426277e+52       7.372239817254e-06       1.488131374309e+00 
       8.329908164066e+13       1.088356092090e-25       5.558831617236e-09       1.498390023748e+22       1.416747636622e+04       1.700796225742e-10       1.180137770472e+18       3.209628100147e-09       1.324768294116e+44       1.425995548374e+33       7.712016741205e+33       3.048354510705e+43       1.016118170235e+43       3.446454986861e-08       6.155689179908e+43       2.245172663269e+44       2.245172663269e+44       7.483908877258e+43      -5.384844192497e+52       7.490165387746e-06       1.464702153154e+00 
       8.240849648618e+13       1.112006838416e-25       5.618858267553e-09       1.466521476414e+22       1.416747636622e+04       1.719176658999e-10       1.167520426344e+18       3.244314415970e-09       1.269015815230e+44       1.380745070936e+33       7.467294771391e+33       2.920065419511e+43       9.733551398371e+42       3.446454986861e-08       5.896628835126e+43       2.150685240782e+44       2.150685240782e+44       7.168950802313e+43      -5.103075902718e+52       7.608090958236e-06       1.441999238857e+00 
       8.152743294829e+13       1.136171532016e-25       5.680703907274e-09       1.435330726110e+22       1.416747636622e+04       1.737755728824e-10       1.155037979494e+18       3.279375585329e-09       1.215609662805e+44       1.336930506613e+33       7.230338454131e+33       2.797175336491e+43       9.323917788304e+42       3.446454986861e-08       5.648470967755e+43       2.060174293315e+44       2.060174293315e+44       6.867247644097e+43      -4.836051469267e+52       7.726016528726e-06       1.419989373603e+00 
       8.065578922741e+13       1.160861341478e-25       5.740730557591e-09       1.404803357093e+22       1.416747636622e+04       1.756535581876e-10       1.142688987679e+18       3.314815659275e-09       1.164451092389e+44       1.294506290216e+33       7.000901365456e+33       2.679457045994e+43       8.931523486648e+42       3.446454986861e-08       5.410756750284e+43       1.973472472100e+44       1.973472472100e+44       6.578241573389e+43      -4.582999402565e+52       7.843942099216e-06       1.398641299539e+00 
