x,y
2,1015.994535
3962.6178896
4911.859558
5873.9226709
6847.8565987
7831.1102829
8821.376815
9816.8768458
10816.2913631
11818.6728402
12823.3326131
13829.786742
14837.6783562
15846.7556419
16856.8236426
17867.727625
18879.2966479
19891.6021113
20904.3871944
21917.6805349
22931.3775692
23945.5064356
24959.9800394
25974.7968374
26989.8846232
27,1005.30974
28,1021.061108
29,1037.023528
30,1053.234473
31,1069.701939
32,1086.367209
33,1103.252349
34,1120.349778
35,1137.610994
36,1155.071116
37,1172.756223
38,1190.643386
39,1208.684295
40,1226.89916
41,1245.305667
42,1263.889429
43,1282.621504
44,1301.525251
45,1320.624795
46,1339.924137
47,1359.405191
48,1379.04155
49,1398.848916
50,1418.845523
51,1439.036522
52,1459.412829
53,1479.960564
54,1500.694911
55,1521.632944
56,1542.783097
57,1564.144448
58,1585.70601
59,1607.454219
60,1629.399076
61,1651.552831
62,1673.921881
63,1696.506335
64,1719.299582
65,1742.293732
66,1765.498262
67,1788.924551
68,1812.580092
69,1836.468218
70,1860.58783
71,1884.933131
72,1909.497743
73,1934.288586
74,1959.314187
75,1984.580362
76,2010.090039
77,2035.843097
78,2061.836189
79,2088.062576
80,2114.515493
81,2141.19931
82,2168.120007
83,2195.281708
84,2222.686574
85,2250.334698
86,2278.224006
87,2306.350143
88,2334.706378
89,2363.286124
90,2392.091208
91,2421.12471
92,2450.388387
93,2479.88261
94,2509.606295
95,2539.55684
96,2569.73006
97,2600.120121
98,2630.719476
99,2661.520766
100,2692.522962
101,2723.72598
102,2755.128744
103,2786.729155
104,2818.524038
105,2850.509113
106,2882.678944
107,2915.026903
108,2947.545128
109,2980.224481
110,3013.056131
111,3046.036618
112,3079.163367
113,3112.433091
114,3145.841768
115,3179.384617
116,3213.056071
117,3246.849753
118,3280.758452
119,3314.774093
120,3348.887716
121,3383.089452
122,3417.368492
123,3451.714363
124,3486.120965
125,3520.582949
126,3555.094447
127,3589.649064
128,3624.239855
129,3658.859312
130,3693.499351
131,3728.151297
132,3762.805866
133,3797.453153
134,3832.082616
135,3866.68306
136,3901.242622
137,3935.749817
138,3970.196816
139,4004.57648
140,4038.881321
141,4073.103497
142,4107.234802
143,4141.266657
144,4175.190102
145,4208.99579
146,4242.673976
147,4276.21451
148,4309.606826
149,4342.83994
150,4375.902435
151,4408.782455
152,4441.467698
153,4473.94631
154,4506.209679
155,4538.249885
156,4570.058819
157,4601.628176
158,4632.949455
159,4664.013953
160,4694.812759
161,4725.336757
162,4755.576616
163,4785.522789
164,4815.165508
165,4844.494783
166,4873.500394
167,4902.171892
168,4930.498591
169,4958.469569
170,4986.073658
171,5013.300182
172,5040.14122
173,5066.589525
174,5092.6378
175,5118.278705
176,5143.504847
177,5168.308787
178,5192.683035
179,5216.620052
180,5240.112246
181,5263.151975
182,5285.731543
183,5307.843203
184,5329.47915
185,5350.631529
186,5371.292426
187,5391.453873
188,5411.107845
189,5430.246258
190,5448.860972
191,5466.944326
192,5484.490804
193,5501.495493
194,5517.95356
195,5533.860247
196,5549.210877
197,5564.000852
198,5578.225655
199,5591.880854
200,5604.962097
201,5617.465119
202,5629.385737
203,5640.71986
204,5651.463478
205,5661.612676
206,5671.163623
207,5680.112584
208,5688.45591
209,5696.190051
210,5703.311546
211,5709.817031
212,5715.703239
213,5720.967299
214,5725.607674
215,5729.623288
216,5733.013236
217,5735.776784
218,5737.913371
219,5739.422612
220,5740.304296
221,5740.558394
222,5740.185056
223,5739.184614
224,5737.557585
225,5735.304672
226,5732.426766
227,5728.924947
228,5724.800488
229,5720.054854
230,5714.689706
231,5708.706903
232,5702.108501
233,5694.89676
234,5687.074139
235,5678.643304
236,5669.607128
237,5659.968689
238,5649.731246
239,5638.898125
240,5627.47283
241,5615.459072
242,5602.860771
243,5589.682062
244,5575.927291
245,5561.601023
246,5546.708038
247,5531.253336
248,5515.242139
249,5498.679891
250,5481.572261
