# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       2.375294649873e+03       8.877414365462e-02       0.000000000000e+00       1.253380660723e+01       1.374825056998e-07      -3.290391182654e-03      -5.027900725193e-05 
    3       1.922651525676e+03       8.122849653638e-02       0.000000000000e+00       1.020000816411e+01       1.729276714448e-07      -3.259359181966e-03      -4.910052928861e-05 
    4       1.603924326734e+03       4.967754873787e-02       0.000000000000e+00       6.966598233247e+00       2.038953254831e-07      -3.143565874331e-03      -3.918998545193e-05 
    5       1.420118175922e+03       2.112468497564e-02       0.000000000000e+00       4.201734826561e+00       2.324961207213e-07      -3.206959327811e-03      -2.633201512721e-05 
    6       1.326894549514e+03       6.936280146904e-03       0.000000000000e+00       2.370025239278e+00       2.589980168610e-07      -3.469868613418e-03      -1.503960002936e-05 
    7       1.240197371069e+03       3.326296100414e-03       0.000000000000e+00       1.405096302849e+00       2.826931149019e-07      -3.473930007846e-03      -7.761749433399e-06 
    8       1.194834818896e+03       3.540726899697e-03       0.000000000000e+00       1.193460500791e+00       3.033098192281e-07      -3.562019970680e-03      -5.391080664702e-06 
    9       1.155161607035e+03       4.404675108466e-03       0.000000000000e+00       1.389706741468e+00       3.220370141991e-07      -3.529380560679e-03      -6.702352648416e-06 
   10       1.130581880979e+03       5.908605627338e-03       0.000000000000e+00       1.755886300919e+00       3.396506860872e-07      -3.518575290738e-03      -1.019071768195e-05 
   11       1.126915917514e+03       8.031506306005e-03       0.000000000000e+00       2.098164529129e+00       3.392900516606e-07      -3.392398442657e-03      -1.273617625962e-05 
   12       1.118909296705e+03       1.000176607736e-02       0.000000000000e+00       2.279578482825e+00       3.531372802158e-07      -3.409729334247e-03      -1.420857923192e-05 
   13       1.117874966217e+03       1.150316100975e-02       0.000000000000e+00       2.325991512914e+00       3.658183688736e-07      -3.423373875830e-03      -1.378921582449e-05 
   14       1.124920505881e+03       1.293164930752e-02       0.000000000000e+00       2.276800738470e+00       3.774418893580e-07      -3.436743607991e-03      -1.184491487571e-05 
   15       1.131958376158e+03       1.498183199331e-02       0.000000000000e+00       2.186999940721e+00       3.881017797384e-07      -3.444310039441e-03      -9.253671347039e-06 
   16       1.147559905027e+03       1.808084911986e-02       0.000000000000e+00       2.124185020715e+00       3.978797455596e-07      -3.442820276930e-03      -6.967554386007e-06 
   17       1.163233143726e+03       2.216116428391e-02       0.000000000000e+00       2.097453599185e+00       4.068478428431e-07      -3.435758431853e-03      -5.641220222006e-06 
   18       1.177946264034e+03       2.705526741197e-02       0.000000000000e+00       2.119166316356e+00       4.150697513315e-07      -3.426110721866e-03      -5.447302268962e-06 
   19       1.198093536026e+03       3.268019029909e-02       0.000000000000e+00       2.160394291697e+00       4.226024807312e-07      -3.412441225259e-03      -6.103393269828e-06 
   20       1.216881893257e+03       3.902098864496e-02       0.000000000000e+00       2.179947268715e+00       4.294971737940e-07      -3.394394985307e-03      -7.059611580265e-06 
   21       1.241004743605e+03       4.603149960731e-02       0.000000000000e+00       2.164670227630e+00       4.357995629829e-07      -3.375366868779e-03      -7.747629298801e-06 
   22       1.266314710029e+03       5.362283740023e-02       0.000000000000e+00       2.072436865215e+00       4.415513826675e-07      -3.357094882508e-03      -7.797836735242e-06 
   23       1.288682888183e+03       6.189711084876e-02       0.000000000000e+00       1.919241565187e+00       4.467905066807e-07      -3.336718268834e-03      -7.152280067106e-06 
   24       1.315923778951e+03       7.101041167910e-02       0.000000000000e+00       1.723333654137e+00       4.515510992764e-07      -3.311692638995e-03      -6.042860126332e-06 
   25       1.342406929410e+03       8.103942214881e-02       0.000000000000e+00       1.484580916286e+00       4.558650821002e-07      -3.284003799500e-03      -4.856717609098e-06 
   26       1.371276421168e+03       9.204334022767e-02       0.000000000000e+00       1.230510899200e+00       4.597610043488e-07      -3.257319798883e-03      -3.960908484378e-06 
   27       1.403281755389e+03       1.040037168162e-01       0.000000000000e+00       9.459664424074e-01       4.632656865045e-07      -3.232270633368e-03      -3.558873447496e-06 
   28       1.431555156138e+03       1.168950537423e-01       0.000000000000e+00       6.342993228198e-01       4.664035083941e-07      -3.206510526811e-03      -3.633149499555e-06 
   29       1.462513630377e+03       1.307300241375e-01       0.000000000000e+00       3.049396479568e-01       4.691972551136e-07      -3.178244311712e-03      -3.988014305054e-06 
   30       1.495722370320e+03       1.454604542176e-01       0.000000000000e+00      -7.558614935067e-02       4.716677244399e-07      -3.148059446911e-03      -4.342991710585e-06 
   31       1.528341172023e+03       1.610599627583e-01       0.000000000000e+00      -5.045219039806e-01       4.738346295676e-07      -3.117439930939e-03      -4.451269090820e-06 
   32       1.563699143976e+03       1.775434792842e-01       0.000000000000e+00      -9.887924357019e-01       4.757158539408e-07      -3.086880449221e-03      -4.194238461212e-06 
   33       1.598129946462e+03       1.949295161680e-01       0.000000000000e+00      -1.527722885449e+00       4.773283771274e-07      -3.056181713549e-03      -3.618190751478e-06 
   34       1.633275310830e+03       2.131579291016e-01       0.000000000000e+00      -2.101620824753e+00       4.786877854681e-07      -3.025276732517e-03      -2.900497056388e-06 
   35       1.670027899172e+03       2.323206384428e-01       0.000000000000e+00      -2.717977353686e+00       4.797953700126e-07      -2.993846186761e-03      -2.271704050817e-06 
   36       1.708218496188e+03       2.523682187193e-01       0.000000000000e+00      -3.375662794502e+00       4.807054741030e-07      -2.961897540049e-03      -1.867027809299e-06 
   37       1.747506821484e+03       2.732043273381e-01       0.000000000000e+00      -4.068455942884e+00       4.813848963426e-07      -2.929213592631e-03      -1.770592194416e-06 
   38       1.787425908937e+03       2.948279200464e-01       0.000000000000e+00      -4.793344188641e+00       4.818753010502e-07      -2.896139603653e-03      -1.913785155874e-06 
   39       1.827605512833e+03       3.172525987086e-01       0.000000000000e+00      -5.549799902437e+00       4.821656265596e-07      -2.862912712863e-03      -2.157990073335e-06 
   40       1.868621160392e+03       3.404212952887e-01       0.000000000000e+00      -6.344793967256e+00       4.822910969597e-07      -2.829737901809e-03      -2.372799574342e-06 
   41       1.911083259735e+03       3.642561466750e-01       0.000000000000e+00      -7.186242478194e+00       4.822377807748e-07      -2.796601323942e-03      -2.434311973869e-06 
   42       1.954312962114e+03       3.887039710071e-01       0.000000000000e+00      -8.072715044006e+00       4.820356998520e-07      -2.763750038607e-03      -2.327146615335e-06 
   43       1.997543376982e+03       4.137213632239e-01       0.000000000000e+00      -8.999254723169e+00       4.816753445121e-07      -2.731299886038e-03      -2.087192610089e-06 
   44       2.041724041973e+03       4.392868349122e-01       0.000000000000e+00      -9.958760181148e+00       4.811825367331e-07      -2.699319818007e-03      -1.811278761484e-06 
   45       2.088020044849e+03       4.653695613531e-01       0.000000000000e+00      -1.094442059092e+01       4.805490934343e-07      -2.667671312878e-03      -1.616278073584e-06 
   46       2.135955425275e+03       4.918662810102e-01       0.000000000000e+00      -1.195607829098e+01       4.797969816675e-07      -2.636234249485e-03      -1.552857830700e-06 
   47       2.184568174341e+03       5.186621740539e-01       0.000000000000e+00      -1.299441709073e+01       4.789195816028e-07      -2.604698874603e-03      -1.637797444297e-06 
   48       2.233199892589e+03       5.457125986493e-01       0.000000000000e+00      -1.405458517487e+01       4.779375049191e-07      -2.572695586092e-03      -1.813510605208e-06 
   49       2.281536163356e+03       5.729754825216e-01       0.000000000000e+00      -1.513212843792e+01       4.768460375178e-07      -2.539931563700e-03      -1.993793436927e-06 
   50       2.330626642890e+03       6.003287433219e-01       0.000000000000e+00      -1.623263085953e+01       4.756561831267e-07      -2.507340525907e-03      -2.113360460262e-06 
   51       2.381662086377e+03       6.276425338795e-01       0.000000000000e+00      -1.736259310161e+01       4.743591610310e-07      -2.475978567007e-03      -2.122007112701e-06 
   52       2.434365417144e+03       6.548797484093e-01       0.000000000000e+00      -1.851716476838e+01       4.729865900356e-07      -2.445677994847e-03      -2.039474728633e-06 
   53       2.487959091214e+03       6.820344222596e-01       0.000000000000e+00      -1.968759719218e+01       4.715449206578e-07      -2.415661823397e-03      -1.914415180403e-06 
   54       2.541731833225e+03       7.090872115537e-01       0.000000000000e+00      -2.086565980612e+01       4.700073080100e-07      -2.385077104024e-03      -1.797974371736e-06 
   55       2.595724735186e+03       7.359338136529e-01       0.000000000000e+00      -2.204908227314e+01       4.683982705243e-07      -2.354045136528e-03      -1.707341282750e-06 
   56       2.650205774552e+03       7.624394300185e-01       0.000000000000e+00      -2.323740389635e+01       4.667283252112e-07      -2.322924085056e-03      -1.650781651389e-06 
   57       2.705431179312e+03       7.884746032872e-01       0.000000000000e+00      -2.442995532740e+01       4.649814993548e-07      -2.292004918866e-03      -1.630326611263e-06 
   58       2.761500213252e+03       8.139669144798e-01       0.000000000000e+00      -2.562426332420e+01       4.631783831576e-07      -2.261472826970e-03      -1.617324314382e-06 
   59       2.818467600184e+03       8.388611301648e-01       0.000000000000e+00      -2.681729679863e+01       4.613258084310e-07      -2.231411110201e-03      -1.568279875405e-06 
   60       2.876336195475e+03       8.630990598735e-01       0.000000000000e+00      -2.800579996090e+01       4.594089701759e-07      -2.201854312688e-03      -1.445014150930e-06 
   61       2.934898195885e+03       8.866014569072e-01       0.000000000000e+00      -2.918587935276e+01       4.574449799645e-07      -2.172979724246e-03      -1.263159689238e-06 
   62       2.993856811116e+03       9.092824113323e-01       0.000000000000e+00      -3.035332492228e+01       4.554399875176e-07      -2.144955177269e-03      -1.058791864276e-06 
   63       3.052972446988e+03       9.310586260307e-01       0.000000000000e+00      -3.150413437753e+01       4.533824618379e-07      -2.117795004077e-03      -8.687291143709e-07 
   64       3.112395433429e+03       9.518623703382e-01       0.000000000000e+00      -3.263583936157e+01       4.512872155924e-07      -2.091082040000e-03      -7.066561388348e-07 
   65       3.172402490466e+03       9.716314731805e-01       0.000000000000e+00      -3.374646466371e+01       4.491597627201e-07      -2.064137391746e-03      -5.803937040062e-07 
   66       3.233217948507e+03       9.903045620334e-01       0.000000000000e+00      -3.483387194569e+01       4.469906348282e-07      -2.036340892206e-03      -4.953583054412e-07 
   67       3.294744597086e+03       1.007817266741e+00       0.000000000000e+00      -3.589485251244e+01       4.447906370379e-07      -2.008011778599e-03      -4.439455525585e-07 
   68       3.356778356087e+03       1.024105545747e+00       0.000000000000e+00      -3.692586161506e+01       4.425617234695e-07      -1.979767995990e-03      -4.129164039316e-07 
   69       3.419113049962e+03       1.039108971173e+00       0.000000000000e+00      -3.792333797288e+01       4.402945645997e-07      -1.952173129819e-03      -3.890461837295e-07 
