# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       2.375309219315e+03       8.878630711992e-02       1.216347494506e-05       1.253380625841e+01       1.374825056998e-07      -3.290391182654e-03      -5.027900725193e-05 
    3       1.922680641481e+03       8.125283005253e-02       2.433361255753e-05       1.020000661506e+01       1.729276714448e-07      -3.259359181966e-03      -4.910052928861e-05 
    4       1.603972801051e+03       4.971811889511e-02       4.057063875947e-05       6.966593803281e+00       2.038953254831e-07      -3.143565874331e-03      -3.918998545193e-05 
    5       1.420190788126e+03       2.118556621269e-02       6.088292007509e-05       4.201724794714e+00       2.324961207213e-07      -3.206959327811e-03      -2.633201512721e-05 
    6       1.326996036396e+03       7.021555927085e-03       8.528048492533e-05       2.370005655489e+00       2.589980168610e-07      -3.469868613418e-03      -1.503960002936e-05 
    7       1.240332416103e+03       3.440059590779e-03       1.137747598605e-04       1.405061843156e+00       2.826931149019e-07      -3.473930007846e-03      -7.761749433399e-06 
    8       1.195008040535e+03       3.687081079731e-03       1.463782746247e-04       1.193404372626e+00       3.033098192281e-07      -3.562019970680e-03      -5.391080664702e-06 
    9       1.155377546065e+03       4.587732248052e-03       1.831043464326e-04       1.389620643619e+00       3.220370141991e-07      -3.529380560679e-03      -6.702352648416e-06 
   10       1.130844987007e+03       6.132486087977e-03       2.239667544914e-04       1.755760441148e+00       3.396506860872e-07      -3.518575290738e-03      -1.019071768195e-05 
   11       1.127230534758e+03       8.300336634527e-03       2.689794160291e-04       2.097987700916e+00       3.392900516606e-07      -3.392398442657e-03      -1.273617625962e-05 
   12       1.119279649294e+03       1.031967637713e-02       3.181560749057e-04       2.279338201115e+00       3.531372802158e-07      -3.409729334247e-03      -1.420857923192e-05 
   13       1.118305143273e+03       1.187428159035e-02       3.715100132728e-04       2.325674207272e+00       3.658183688736e-07      -3.423373875830e-03      -1.378921582449e-05 
   14       1.125414446683e+03       1.336010662965e-02       4.290537957634e-04       2.276392000654e+00       3.774418893580e-07      -3.436743607991e-03      -1.184491487571e-05 
   15       1.132519855747e+03       1.547174394078e-02       4.907990543538e-04       2.186484822450e+00       3.881017797384e-07      -3.444310039441e-03      -9.253671347039e-06 
   16       1.148192520584e+03       1.863631964505e-02       5.567563204137e-04       2.123548376363e+00       3.978797455596e-07      -3.442820276930e-03      -6.967554386007e-06 
   17       1.163940302078e+03       2.278627748620e-02       6.269349086154e-04       2.096680467315e+00       4.068478428431e-07      -3.435758431853e-03      -5.641220222006e-06 
   18       1.178731170625e+03       2.775408112061e-02       7.013428553674e-04       2.118242333404e+00       4.150697513315e-07      -3.426110721866e-03      -5.447302268962e-06 
   19       1.198959185632e+03       3.345672924213e-02       7.799869123772e-04       2.159306130805e+00       4.226024807312e-07      -3.412441225259e-03      -6.103393269828e-06 
   20       1.217831062694e+03       3.987923729496e-02       8.628725938878e-04       2.178683096605e+00       4.294971737940e-07      -3.394394985307e-03      -7.059611580265e-06 
   21       1.242039986604e+03       4.697539480112e-02       9.500042741771e-04       2.163220172574e+00       4.357995629829e-07      -3.375366868779e-03      -7.747629298801e-06 
   22       1.267438354369e+03       5.465626083574e-02       1.041385330119e-03       2.070793489536e+00       4.415513826675e-07      -3.357094882508e-03      -7.797836735242e-06 
   23       1.289897035107e+03       6.302388156497e-02       1.137018322060e-03       1.917400336289e+00       4.467905066807e-07      -3.336718268834e-03      -7.152280067106e-06 
   24       1.317230304770e+03       7.223427862790e-02       1.236905205011e-03       1.721293408788e+00       4.515510992764e-07      -3.311692638995e-03      -6.042860126332e-06 
   25       1.343807489147e+03       8.236405696768e-02       1.341047561272e-03       1.482344313744e+00       4.558650821002e-07      -3.284003799500e-03      -4.856717609098e-06 
   26       1.372772453965e+03       9.347233032149e-02       1.449446845063e-03       1.228084859649e+00       4.597610043488e-07      -3.257319798883e-03      -3.960908484378e-06 
   27       1.404874491360e+03       1.055405588549e-01       1.562104629622e-03       9.433625681767e-01       4.632656865045e-07      -3.232270633368e-03      -3.558873447496e-06 
   28       1.433245624240e+03       1.185431476781e-01       1.679022847506e-03       6.315343007202e-01       4.664035083941e-07      -3.206510526811e-03      -3.633149499555e-06 
   29       1.464302666853e+03       1.324926678430e-01       1.800204015461e-03       3.020356319776e-01       4.691972551136e-07      -3.178244311712e-03      -3.988014305054e-06 
   30       1.497610627192e+03       1.473408388405e-01       1.925651436249e-03      -7.860117501528e-02       4.716677244399e-07      -3.148059446911e-03      -4.342991710585e-06 
   31       1.530329125123e+03       1.630611688863e-01       2.055369371088e-03      -5.076137809851e-01       4.738346295676e-07      -3.117439930939e-03      -4.451269090820e-06 
   32       1.565787099982e+03       1.796684740083e-01       2.189363177934e-03      -9.919205056538e-01       4.757158539408e-07      -3.086880449221e-03      -4.194238461212e-06 
   33       1.600318048433e+03       1.971811511281e-01       2.327639412520e-03      -1.530839680784e+00       4.773283771274e-07      -3.056181713549e-03      -3.618190751478e-06 
   34       1.635563541778e+03       2.155389395951e-01       2.470205890918e-03      -2.104671775057e+00       4.786877854681e-07      -3.025276732517e-03      -2.900497056388e-06 
   35       1.672416083898e+03       2.348336434528e-01       2.617071717454e-03      -2.720900501453e+00       4.797953700126e-07      -2.993846186761e-03      -2.271704050817e-06 
   36       1.710706297288e+03       2.550157232476e-01       2.768247257522e-03      -3.378388548489e+00       4.807054741030e-07      -2.961897540049e-03      -1.867027809299e-06 
