# Matter power spectrum P(k) at redshift z=0
# for k=0.000516752 to 1.34824 h/Mpc,
# number of wavenumbers equal to 759
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.167520445075e-04       1.567368465611e+03 
       5.478166285085e-04       1.883481622636e+03 
       5.807413950731e-04       2.216906674334e+03 
       6.156739722645e-04       2.566863995756e+03 
       6.527672402720e-04       2.932891634412e+03 
       6.921775869584e-04       3.314786596590e+03 
       7.340626311185e-04       3.712543249297e+03 
       7.785783965784e-04       4.126283871509e+03 
       8.258759628926e-04       4.556163168313e+03 
       8.760976737698e-04       5.002370617937e+03 
       9.293730484873e-04       5.465052212007e+03 
       9.858146067559e-04       5.944267392672e+03 
       1.045513872713e-03       6.439961780930e+03 
       1.108537856186e-03       6.951935058405e+03 
       1.174926307521e-03       7.479818663700e+03 
       1.244689999466e-03       8.023068731653e+03 
       1.317810207067e-03       8.580962311461e+03 
       1.394239444853e-03       9.152593782907e+03 
       1.473903397580e-03       9.736918788780e+03 
       1.556703867777e-03       1.033278461889e+04 
       1.642522478881e-03       1.093892845127e+04 
       1.731224828641e-03       1.155402025009e+04 
       1.822664785917e-03       1.217669684625e+04 
       1.916688658561e-03       1.280558894523e+04 
       2.013139018951e-03       1.343934867921e+04 
       2.111858043100e-03       1.407667018838e+04 
       2.212690287289e-03       1.471630788062e+04 
       2.315484884314e-03       1.535708817772e+04 
       2.420097185517e-03       1.599791720846e+04 
       2.526389903890e-03       1.663778604873e+04 
       2.634233829326e-03       1.727577160044e+04 
       2.743508192318e-03       1.791103644709e+04 
       2.854100750179e-03       1.854282740918e+04 
       2.965907663000e-03       1.917046703978e+04 
       3.078833217383e-03       1.979335731491e+04 
       3.192789446026e-03       2.041096184915e+04 
       3.307695681683e-03       2.102281340937e+04 
       3.423478075378e-03       2.162849931819e+04 
       3.540069101325e-03       2.222766434961e+04 
       3.657407064901e-03       2.281999547115e+04 
       3.775435625108e-03       2.340522902377e+04 
       3.894103339109e-03       2.398313463794e+04 
       4.013363233526e-03       2.455352196279e+04 
       4.133172404991e-03       2.511622581506e+04 
       4.253491650890e-03       2.567111482468e+04 
       4.374285130098e-03       2.621807263770e+04 
       4.495520052780e-03       2.675699850879e+04 
       4.617166397826e-03       2.728784572305e+04 
       4.739196656206e-03       2.781060081581e+04 
       4.861585598387e-03       2.832519152338e+04 
       4.984310063898e-03       2.883161467426e+04 
       5.107348771173e-03       2.932985210753e+04 
       5.230682145849e-03       2.981988923089e+04 
       5.354292165806e-03       3.030172713910e+04 
       5.478162221362e-03       3.077542669905e+04 
       5.602276989120e-03       3.124097553501e+04 
       5.726622318144e-03       3.169842752127e+04 
       5.851185127201e-03       3.214780843669e+04 
       5.975953311965e-03       3.258917108277e+04 
       6.100915661177e-03       3.302255901504e+04 
       6.226061780830e-03       3.344801966278e+04 
       6.351382025580e-03       3.386562491670e+04 
       6.476867436637e-03       3.427542336245e+04 
       6.602509685486e-03       3.467747196327e+04 
       6.728301022834e-03       3.507183568110e+04 
       6.854234232271e-03       3.545858468882e+04 
       6.980302588166e-03       3.583778291276e+04 
