# Matter power spectrum P(k) at redshift z=0
# for k=0.000516752 to 1.34824 h/Mpc,
# number of wavenumbers equal to 759
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.167520445075e-04       1.567415052444e+03 
       5.478166285085e-04       1.883545926957e+03 
       5.807413950731e-04       2.216993315600e+03 
       6.156739722645e-04       2.566978503946e+03 
       6.527672402720e-04       2.933040614780e+03 
       6.921775869584e-04       3.314977923154e+03 
       7.340626311185e-04       3.712786281958e+03 
       7.785783965784e-04       4.126589699296e+03 
       8.258759628926e-04       4.556544870887e+03 
       8.760976737698e-04       5.002843549413e+03 
       9.293730484873e-04       5.465634287583e+03 
       9.858146067559e-04       5.944979373112e+03 
       1.045513872713e-03       6.440827541668e+03 
       1.108537856186e-03       6.952981821808e+03 
       1.174926307521e-03       7.481077179606e+03 
       1.244689999466e-03       8.024573386726e+03 
       1.317810207067e-03       8.582751154624e+03 
       1.394239444853e-03       9.154708441948e+03 
       1.473903397580e-03       9.739404303402e+03 
       1.556703867777e-03       1.033568917401e+04 
       1.642522478881e-03       1.094230300472e+04 
       1.731224828641e-03       1.155791809440e+04 
       1.822664785917e-03       1.218117311538e+04 
       1.916688658561e-03       1.281070009644e+04 
       2.013139018951e-03       1.344515197136e+04 
       2.111858043100e-03       1.408322318452e+04 
       2.212690287289e-03       1.472366799369e+04 
       2.315484884314e-03       1.536531227715e+04 
       2.420097185517e-03       1.600706129617e+04 
       2.526389903890e-03       1.664790501121e+04 
       2.634233829326e-03       1.728691903368e+04 
       2.743508192318e-03       1.792326455002e+04 
       2.854100750179e-03       1.855618693580e+04 
       2.965907663000e-03       1.918500729473e+04 
       3.078833217383e-03       1.980912406590e+04 
       3.192789446026e-03       2.042800075457e+04 
       3.307695681683e-03       2.104116814166e+04 
       3.423478075378e-03       2.164821058230e+04 
       3.540069101325e-03       2.224876995805e+04 
       3.657407064901e-03       2.284253047061e+04 
       3.775435625108e-03       2.342922586524e+04 
       3.894103339109e-03       2.400862334794e+04 
       4.013363233526e-03       2.458053032541e+04 
       4.133172404991e-03       2.514477953683e+04 
       4.253491650890e-03       2.570123770058e+04 
       4.374285130098e-03       2.624978668424e+04 
       4.495520052780e-03       2.679032412655e+04 
       4.617166397826e-03       2.732280184522e+04 
       4.739196656206e-03       2.784720505683e+04 
       4.861585598387e-03       2.836346024849e+04 
       4.984310063898e-03       2.887156317097e+04 
       5.107348771173e-03       2.937149470176e+04 
       5.230682145849e-03       2.986323938552e+04 
       5.354292165806e-03       3.034679757591e+04 
       5.478162221362e-03       3.082222959019e+04 
       5.602276989120e-03       3.128952247966e+04 
       5.726622318144e-03       3.174872972944e+04 
       5.851185127201e-03       3.219987675009e+04 
       5.975953311965e-03       3.264301606853e+04 
       6.100915661177e-03       3.307819098392e+04 
       6.226061780830e-03       3.350544869920e+04 
       6.351382025580e-03       3.392486090899e+04 
       6.476867436637e-03       3.433647596342e+04 
       6.602509685486e-03       3.474035057352e+04 
       6.728301022834e-03       3.513654943150e+04 
       6.854234232271e-03       3.552514240266e+04 
       6.980302588166e-03       3.590619305243e+04 
       7.106499817369e-03       3.627977462905e+04 
       7.232820064357e-03       3.664595311560e+04 
       7.359257859472e-03       3.700479199654e+04 
       7.485808089948e-03       3.735636339272e+04 
       7.612465973473e-03       3.770074525280e+04 
       7.739227034024e-03       3.803800960089e+04 
       7.866087079765e-03       3.836821669770e+04 
       7.993042182815e-03       3.869146161158e+04 
       8.120088660712e-03       3.900780487266e+04 
       8.247223059408e-03       3.931731131608e+04 
       8.374442137662e-03       3.962006307733e+04 
       8.501742852697e-03       3.991614292988e+04 
       8.629122347018e-03       4.020560588139e+04 
       8.756577936269e-03       4.048854425624e+04 
       8.884107098054e-03       4.076501158294e+04 
       9.011707461635e-03       4.103509435207e+04 
       9.139376798416e-03       4.129884590896e+04 
       9.267113013164e-03       4.155634700082e+04 
       9.394914135896e-03       4.180766755601e+04 
       9.522778314375e-03       4.205287978621e+04 
       9.650703807167e-03       4.229204894171e+04 
       9.778688977208e-03       4.252524167957e+04 
       9.906732285847e-03       4.275252193259e+04 
       1.003483228732e-02       4.297395972332e+04 
       1.016298762363e-02       4.318962124892e+04 
       1.029119701977e-02       4.339958438090e+04 
       1.041945927931e-02       4.360388490115e+04 
       1.054777328031e-02       4.380262411002e+04 
       1.067613797146e-02       4.399584063762e+04 
       1.080455236855e-02       4.418360096961e+04 
       1.093301555115e-02       4.436598485272e+04 
       1.106152665953e-02       4.454303401601e+04 
       1.119008489182e-02       4.471482106056e+04 
       1.131868950126e-02       4.488140555825e+04 
       1.144733979380e-02       4.504285216683e+04 
       1.157603512572e-02       4.519921528657e+04 
       1.170477490146e-02       4.535056064462e+04 
       1.183355857164e-02       4.549694344240e+04 
       1.196238563113e-02       4.563842971355e+04 
       1.209125561732e-02       4.577507340313e+04 
       1.222016810846e-02       4.590693567197e+04 
       1.234912272217e-02       4.603407537912e+04 
       1.247811911395e-02       4.615654917462e+04 
       1.260715697590e-02       4.627442932342e+04 
       1.273623603548e-02       4.638774535128e+04 
       1.286535605431e-02       4.649657786696e+04 
       1.299451682714e-02       4.660096938525e+04 
       1.312371818085e-02       4.670097766238e+04 
       1.325295997348e-02       4.679666626829e+04 
       1.338224209338e-02       4.688806487508e+04 
       1.351156445845e-02       4.697523743706e+04 
       1.364092701532e-02       4.705824472122e+04 
       1.377032973874e-02       4.713714471325e+04 
       1.389977263087e-02       4.721195796427e+04 
       1.402925572076e-02       4.728278660283e+04 
       1.415877906376e-02       4.734962388861e+04 
       1.428834274102e-02       4.741255954531e+04 
       1.441794685911e-02       4.747162977913e+04 
       1.454759154951e-02       4.752688263821e+04 
       1.467727696828e-02       4.757836571347e+04 
       1.480700329574e-02       4.762614738349e+04 
       1.493677073611e-02       4.767026511695e+04 
       1.506657951731e-02       4.771073966717e+04 
       1.519642989065e-02       4.774764523337e+04 
       1.532632213066e-02       4.778100919816e+04 
       1.545625653488e-02       4.781091609803e+04 
       1.558623342377e-02       4.783737529783e+04 
       1.571625314048e-02       4.786044785767e+04 
       1.584631605087e-02       4.788016436359e+04 
       1.597642254333e-02       4.789659032434e+04 
       1.610657302880e-02       4.790974744350e+04 
       1.623676794070e-02       4.791966426353e+04 
       1.636700773495e-02       4.792645534582e+04 
       1.649729289000e-02       4.793012220251e+04 
       1.662762390681e-02       4.793066219352e+04 
       1.675800130898e-02       4.792817727302e+04 
       1.688842564281e-02       4.792270425386e+04 
       1.701889747736e-02       4.791426505706e+04 
       1.714941740463e-02       4.790288872970e+04 
       1.727998603968e-02       4.788866737630e+04 
       1.741060402077e-02       4.787160208465e+04 
       1.754127200957e-02       4.785172398554e+04 
       1.767199069133e-02       4.782909554751e+04 
       1.780276077512e-02       4.780378110643e+04 
       1.793358299404e-02       4.777575175084e+04 
       1.806445810552e-02       4.774512358088e+04 
       1.819538689151e-02       4.771186170449e+04 
       1.832637015887e-02       4.767608053233e+04 
       1.845740873958e-02       4.763775185194e+04 
       1.858850349115e-02       4.759693312447e+04 
       1.871965529689e-02       4.755367434392e+04 
       1.885086506634e-02       4.750804147652e+04 
       1.898213373560e-02       4.746001998688e+04 
       1.911346226774e-02       4.740963977156e+04 
       1.924485165324e-02       4.735693581312e+04 
       1.937630291040e-02       4.730201146665e+04 
       1.950781708582e-02       4.724487125959e+04 
       1.963939525484e-02       4.718552209001e+04 
       1.977103852206e-02       4.712404106947e+04 
       1.990274802185e-02       4.706044966805e+04 
       2.003452491889e-02       4.699477068541e+04 
       2.016637040868e-02       4.692701217484e+04 
       2.029828571819e-02       4.685721961914e+04 
       2.043027210639e-02       4.678549027265e+04 
       2.056233086489e-02       4.671183193307e+04 
       2.069446331858e-02       4.663625887595e+04 
       2.082667082630e-02       4.655880860474e+04 
       2.095895478150e-02       4.647947203261e+04 
       2.109131661297e-02       4.639831257853e+04 
       2.122375778555e-02       4.631540593722e+04 
       2.135627980093e-02       4.623075810558e+04 
       2.148888419835e-02       4.614438879260e+04 
       2.162157255550e-02       4.605632319282e+04 
       2.175434648927e-02       4.596666590084e+04 
       2.188720765668e-02       4.587531002120e+04 
       2.202015775570e-02       4.578246389512e+04 
       2.215319852624e-02       4.568795407835e+04 
       2.228633175103e-02       4.559196639140e+04 
       2.241955925662e-02       4.549447513138e+04 
       2.255288291442e-02       4.539553326281e+04 
       2.268630464169e-02       4.529515721851e+04 
       2.281982640262e-02       4.519334999749e+04 
       2.295345020948e-02       4.509017480711e+04 
